pl_name,hostname,default_flag,pl_orbsmax,pl_rade,pl_radj,pl_masse,st_refname,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_gaiamag
Kepler-850 b,Kepler-850,1,,1.78,0.159,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5932,1.09,1.06,1661.28,15.4272
Kepler-851 b,Kepler-851,1,,1.68,0.15,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5455,0.85,0.89,839.255,15.1081
Kepler-852 b,Kepler-852,1,,2.54,0.227,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6100,1.16,1.19,1619.03,13.9066
Kepler-853 b,Kepler-853,1,,1.69,0.151,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6350,1.55,1.3,568.676,12.2485
Kepler-854 b,Kepler-854,1,,16.72,1.492,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6179,1.27,1.17,1397.04,13.5043
Kepler-855 b,Kepler-855,1,,8.35,0.745,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5835,1.03,1.03,1506.58,15.0191
Kepler-856 b,Kepler-856,1,,9.3,0.83,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5535,0.93,0.96,1351.17,15.557
Kepler-857 b,Kepler-857,1,,6.8,0.607,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5773,0.99,0.99,983.502,15.0638
Kepler-858 b,Kepler-858,1,,4.87,0.434,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5653,0.91,0.96,298.532,12.411
Kepler-859 b,Kepler-859,1,,3.09,0.276,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5020,0.77,0.81,839.903,15.8805
Kepler-860 b,Kepler-860,1,,3.24,0.289,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5836,1.06,1.04,1056.36,15.4033
Kepler-861 b,Kepler-861,1,,2.28,0.203,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5047,0.78,0.82,850.327,15.5958
Kepler-862 b,Kepler-862,1,,2.21,0.197,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5333,0.84,0.88,1039.03,15.3031
Kepler-863 b,Kepler-863,1,,2.9,0.259,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5678,0.95,0.96,1499.66,15.4464
Kepler-864 b,Kepler-864,1,,2.4,0.214,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5754,1,1,2022.9,15.7816
Kepler-865 b,Kepler-865,1,,2.49,0.222,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5570,0.92,0.93,586.137,14.5036
Kepler-866 b,Kepler-866,1,,1.63,0.145,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4751,0.71,0.75,646.667,15.7966
Kepler-867 b,Kepler-867,1,,4.64,0.414,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5541,0.91,0.92,1195.54,14.8849
Kepler-868 b,Kepler-868,1,,2.05,0.183,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5614,0.89,0.93,1593.13,15.6177
Kepler-869 b,Kepler-869,1,,3.61,0.322,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5664,0.95,0.97,939.455,14.9685
Kepler-87 b,Kepler-87,1,0.481,13.49,1.204,324.2,<a refstr=OFIR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A.103O/abstract target=ref> Ofir et al. 2014 </a>,,5600,1.82,1.1,1232.9,14.5869
Kepler-87 c,Kepler-87,1,0.676,6.14,0.548,6.4,<a refstr=OFIR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A.103O/abstract target=ref> Ofir et al. 2014 </a>,,5600,1.82,1.1,1232.9,14.5869
Kepler-870 b,Kepler-870,1,,2.78,0.248,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5857,1.02,1.01,1259.46,15.2216
Kepler-871 b,Kepler-871,1,,3.74,0.334,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5993,1.14,1.11,1976.05,15.6422
Kepler-872 b,Kepler-872,1,,1.99,0.178,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5902,1.08,1.05,879.683,15.0714
Kepler-873 b,Kepler-873,1,,3.75,0.335,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6163,1.27,1.18,1182.22,14.7952
Kepler-874 b,Kepler-874,1,,3.94,0.352,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6020,1.13,1.09,1082.16,14.6941
Kepler-875 b,Kepler-875,1,,2.9,0.259,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5958,1.11,1.06,1242.62,15.2096
Kepler-876 b,Kepler-876,1,,1.43,0.128,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5060,0.77,0.81,820.913,15.3301
Kepler-877 b,Kepler-877,1,,2.12,0.189,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5261,0.81,0.85,602.176,14.5228
Kepler-878 b,Kepler-878,1,,1.93,0.172,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5044,0.77,0.81,791.625,14.7898
Kepler-879 b,Kepler-879,1,,2.57,0.229,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5792,1.02,1.02,802.672,14.2377
Kepler-88 d,KOI-142,1,,,,,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,,5466,0.9,0.99,376.863,13.1048
Kepler-880 b,Kepler-880,1,,2.66,0.237,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6761,1.74,1.46,601.324,11.9642
Kepler-881 b,Kepler-881,1,,1.78,0.159,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5961,1.09,1.06,1375.18,15.1765
Kepler-882 b,Kepler-882,1,,1.23,0.11,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5476,0.87,0.9,504.605,14.0774
Kepler-883 b,Kepler-883,1,,1.78,0.159,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6116,1.09,1.06,627.455,13.0069
Kepler-884 b,Kepler-884,1,,1.23,0.11,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5715,0.94,1,476.733,13.0469
Kepler-885 b,Kepler-885,1,,2.5,0.223,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6187,1.35,1.21,651.318,12.7877
Kepler-886 b,Kepler-886,1,,1.52,0.136,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6098,1.16,1.1,711.297,13.8936
Kepler-887 b,Kepler-887,1,,1.84,0.164,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6194,1.29,1.19,886.588,13.4496
Kepler-887 c,Kepler-887,1,,1.13,0.101,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6194,1.29,1.19,886.588,13.4496
Kepler-888 b,Kepler-888,1,,1.76,0.157,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5875,0.9,0.97,420.817,12.9814
Kepler-889 b,Kepler-889,1,,1.09,0.097,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5961,1.25,1.14,598.313,12.6802
Kepler-890 b,Kepler-890,1,,8.89,0.793,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5954,1.13,1.09,1712.12,15.1361
Kepler-891 b,Kepler-891,1,,6.41,0.572,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5887,1.07,1.06,2340.58,15.273
Kepler-892 b,Kepler-892,1,,2.81,0.251,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4747,0.72,0.75,570.727,15.5902
Kepler-893 b,Kepler-893,1,,3.03,0.27,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5820,0.99,1,1285.59,15.1735
Kepler-894 b,Kepler-894,1,,2.78,0.248,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5603,0.85,0.87,1162.91,15.4056
Kepler-895 b,Kepler-895,1,,1.54,0.137,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4315,0.61,0.65,540.134,15.9804
Kepler-896 b,Kepler-896,1,,2.53,0.226,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5262,0.81,0.84,2334.93,15.4307
Kepler-897 b,Kepler-897,1,,2.39,0.213,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5839,1.04,1.03,1519.25,15.0787
Kepler-898 b,Kepler-898,1,,1.49,0.133,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4223,0.62,0.65,484.891,15.9386
Kepler-899 b,Kepler-899,1,,2.68,0.239,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5595,0.91,0.93,1246.43,15.382
Kepler-9 b,Kepler-9,1,0.143,8.29,0.74,43.4,<a refstr=BORSATO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3233B/abstract target=ref>Borsato et al. 2019</a>,,5774,0.96,1.02,628.257,13.7809
Kepler-9 c,Kepler-9,1,0.227,8.08,0.721,29.9,<a refstr=BORSATO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3233B/abstract target=ref>Borsato et al. 2019</a>,,5774,0.96,1.02,628.257,13.7809
Kepler-9 d,Kepler-9,1,0.0273,1.64,0.146,,<a refstr=TORRES_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...727...24T/abstract target=ref> Torres et al. 2011 </a>,,5777,1.02,1.07,628.257,13.7809
Kepler-90 i,KOI-351,1,,1.32,0.118,,<a refstr=SHALLUE__AMP__VANDERBURG_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...94S/abstract target=ref>Shallue &amp; Vanderburg 2018</a>,,6015,1.29,1.12,848.254,13.7397
Kepler-900 b,Kepler-900,1,,2.08,0.186,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4836,0.73,0.78,487.525,14.9453
Kepler-901 b,Kepler-901,1,,1.37,0.122,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4184,0.57,0.59,253.867,14.6803
Kepler-902 b,Kepler-902,1,,2.54,0.227,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5647,0.93,0.95,1165.34,14.8583
Kepler-903 b,Kepler-903,1,,2.01,0.179,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5682,0.97,0.98,1369.24,14.615
Kepler-903 c,Kepler-903,1,,2.53,0.226,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5682,0.97,0.98,1369.24,14.615
Kepler-904 b,Kepler-904,1,,1.77,0.158,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6160,1.25,1.16,978.125,14.3921
Kepler-905 b,Kepler-905,1,,1.41,0.126,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5461,0.86,0.95,529.268,13.9504
Kepler-906 b,Kepler-906,1,,2.11,0.188,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6035,1.02,1.06,757.791,13.918
Kepler-907 b,Kepler-907,1,,1.2,0.107,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6106,1.38,1.08,,11.4623
Kepler-908 b,Kepler-908,1,,1.22,0.109,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5973,1.12,1.11,290.843,11.465
Kepler-909 b,Kepler-909,1,,1.47,0.131,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6154,1.23,1.17,309.596,11.5096
Kepler-91 b,Kepler-91,1,0.0731,15.323,1.367,257.4423,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,4550,6.3,1.31,1294.69,12.4762
Kepler-910 b,Kepler-910,1,,0.82,0.073,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6230,1.5,1.26,400.289,11.5286
Kepler-911 b,Kepler-911,1,,2.6,0.232,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6112,1.99,1.34,556.168,11.8295
Kepler-912 b,Kepler-912,1,,2.8,0.25,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5998,1.11,1.07,2004.72,15.3262
Kepler-913 b,Kepler-913,1,,2.06,0.184,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4687,0.61,0.63,991.618,15.7385
Kepler-914 b,Kepler-914,1,,1.38,0.123,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5877,1.15,1.1,753.723,13.5481
Kepler-915 b,Kepler-915,1,,1.5,0.134,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6173,1.38,1.21,849.036,13.2408
Kepler-916 b,Kepler-916,1,,1.76,0.157,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5248,0.81,0.85,830.712,15.1752
Kepler-917 b,Kepler-917,1,,1.91,0.17,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5418,0.76,0.8,3460.51,15.8533
Kepler-918 b,Kepler-918,1,,1.74,0.155,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6028,1.14,1.11,1025.03,14.9546
Kepler-919 b,Kepler-919,1,,2.25,0.201,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6113,1.21,1.15,1119.87,14.6785
Kepler-92 b,Kepler-92,1,,3.51,0.313,64.3,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,1.7,1.21,477.992,11.7451
Kepler-92 c,Kepler-92,1,,2.6,0.232,6.1,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,1.7,1.21,477.992,11.7451
Kepler-92 d,Kepler-92,1,,2.067,0.184,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5904.34,1.82,1.07,477.992,11.7451
Kepler-920 b,Kepler-920,1,,2.42,0.216,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5403,0.85,0.89,1001.68,15.2681
Kepler-920 c,Kepler-920,1,,3.8,0.339,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5403,0.85,0.89,1001.68,15.2681
Kepler-921 b,Kepler-921,1,,2.87,0.256,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5663,0.91,0.93,934.49,14.7055
Kepler-922 b,Kepler-922,1,,1.42,0.127,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5671,0.93,0.95,536.323,13.745
Kepler-923 b,Kepler-923,1,,1.38,0.123,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5988,1.26,1.11,1000.28,14.0117
Kepler-924 b,Kepler-924,1,,3.07,0.274,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6167,1.23,1.14,1053.04,14.1368
Kepler-925 b,Kepler-925,1,,2.34,0.209,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4673,0.72,0.77,611.115,15.8155
Kepler-926 b,Kepler-926,1,,2.31,0.206,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5806,1.01,1.01,921.361,14.2595
Kepler-927 b,Kepler-927,1,,1.72,0.153,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5743,0.99,0.99,831.685,14.6011
Kepler-928 b,Kepler-928,1,,1.59,0.142,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4700,0.7,0.73,508.809,15.3227
Kepler-929 b,Kepler-929,1,,1.11,0.099,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5869,1.02,1.01,1311.23,14.5038
Kepler-93 b,Kepler-93,1,,1.569,0.14,4.54426,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5669,0.98,1.09,95.9115,9.86249
Kepler-93 c,Kepler-93,1,,,,954,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5669,0.92,0.91,95.9115,9.86249
Kepler-930 b,Kepler-930,1,,2.13,0.19,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6335,1.4,1.25,848.396,13.7625
Kepler-931 b,Kepler-931,1,,1.33,0.119,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5241,0.81,0.86,,14.488
Kepler-932 b,Kepler-932,1,,1.37,0.122,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5331,0.84,0.87,465.612,14.136
Kepler-933 b,Kepler-933,1,,2.46,0.219,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5346,0.84,0.87,1017.2,15.4379
Kepler-934 b,Kepler-934,1,,2.09,0.186,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5001,0.77,0.81,608.738,15.0341
Kepler-935 b,Kepler-935,1,,1.35,0.12,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4830,0.73,0.78,471.782,14.9002
Kepler-936 b,Kepler-936,1,,1.45,0.129,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5482,0.89,0.92,823.399,14.7886
Kepler-937 b,Kepler-937,1,,3.72,0.332,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6095,1.22,1.15,1571.46,15.1944
Kepler-937 c,Kepler-937,1,,2.67,0.238,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6095,1.22,1.15,1571.46,15.1944
Kepler-938 b,Kepler-938,1,,2.22,0.198,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5533,0.89,0.92,1182.05,
Kepler-939 b,Kepler-939,1,,1.75,0.156,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5471,0.85,0.88,2093.62,15.5197
Kepler-94 b,Kepler-94,1,,3.51,0.313,10.84,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,4781,0.76,0.81,191.904,12.8567
Kepler-94 c,Kepler-94,1,,,,3126,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,4781,0.76,0.81,191.904,12.8567
Kepler-940 b,Kepler-940,1,,3.34,0.298,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5769,0.96,0.97,1260.78,15.4975
Kepler-941 b,Kepler-941,1,,3.08,0.275,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5539,0.86,0.89,1088.36,15.5723
